ID,OneHotEncoder,LetterComposition
254,[0 0 0 ... 0 0 1],"[0.05311778 0.         0.00923788 0.02309469 0.05542725 0.09237875
 0.05080831 0.03926097 0.0669746  0.         0.02540416 0.12009238
 0.01847575 0.02540416 0.         0.05311778 0.03926097 0.04157044
 0.07621247 0.073903   0.06466513 0.03002309 0.04157044 0.        ]"
255,[0 0 0 ... 0 0 1],"[0.05517241 0.         0.01149425 0.02298851 0.05747126 0.08965517
 0.05287356 0.03908046 0.06436782 0.         0.02528736 0.11724138
 0.0183908  0.02528736 0.         0.05517241 0.03678161 0.04137931
 0.08045977 0.07126437 0.05977011 0.03448276 0.04137931 0.        ]"
256,[0 0 0 ... 0 0 1],"[0.05901639 0.         0.00983607 0.05245902 0.10163934 0.04918033
 0.05245902 0.02622951 0.06229508 0.         0.09508197 0.1147541
 0.01311475 0.02295082 0.         0.06229508 0.05245902 0.04918033
 0.04918033 0.05901639 0.03934426 0.00655738 0.02295082 0.        ]"
257,[0 0 0 ... 0 0 1],"[0.07174888 0.         0.00896861 0.04035874 0.11659193 0.06278027
 0.04932735 0.02690583 0.05381166 0.         0.10313901 0.11210762
 0.01345291 0.02242152 0.         0.05829596 0.05829596 0.04932735
 0.05381166 0.04484305 0.02242152 0.00896861 0.02242152 0.        ]"
258,[0 0 0 ... 0 0 1],"[0.08648302 0.         0.04099936 0.03459321 0.06021781 0.03587444
 0.07943626 0.01857783 0.02306214 0.         0.02946829 0.1024984
 0.02049968 0.02370275 0.         0.08263933 0.03651505 0.06598334
 0.09545163 0.06021781 0.06085842 0.02114029 0.02178091 0.        ]"
259,[0 0 0 ... 0 0 1],"[0.0876494  0.         0.03851262 0.03519256 0.06042497 0.03718459
 0.07901726 0.01925631 0.02390438 0.         0.03054449 0.10358566
 0.02124834 0.02324037 0.         0.08167331 0.03652058 0.06573705
 0.0936255  0.05909695 0.06108898 0.02058433 0.02191235 0.        ]"
260,[0 0 0 ... 0 0 1],"[0.08327954 0.         0.04002582 0.0348612  0.06003873 0.03679793
 0.08069722 0.01872176 0.0232408  0.         0.03034216 0.10329245
 0.02001291 0.02388638 0.         0.08198838 0.03744351 0.06649451
 0.0929632  0.06068431 0.06068431 0.02194964 0.02259522 0.        ]"
261,[0 0 0 ... 0 0 1],"[0.05882353 0.         0.00980392 0.05228758 0.10457516 0.05228758
 0.05228758 0.02614379 0.05882353 0.         0.09803922 0.11111111
 0.0130719  0.02287582 0.         0.0620915  0.05228758 0.04575163
 0.04575163 0.0620915  0.04248366 0.00653595 0.02287582 0.        ]"
262,[0 0 0 ... 0 0 1],"[0.03546099 0.         0.0141844  0.06382979 0.06382979 0.05673759
 0.03546099 0.04255319 0.07801418 0.         0.14893617 0.10638298
 0.0212766  0.0141844  0.         0.05673759 0.03546099 0.02836879
 0.0212766  0.08510638 0.05673759 0.         0.03546099 0.        ]"
263,[0 0 0 ... 0 0 1],"[0.07142857 0.         0.00892857 0.04017857 0.12053571 0.06696429
 0.04910714 0.02678571 0.04910714 0.         0.10267857 0.10714286
 0.01339286 0.02232143 0.         0.05803571 0.05803571 0.04910714
 0.04910714 0.04910714 0.02678571 0.00892857 0.02232143 0.        ]"
264,[0 0 0 ... 0 0 1],"[0.04666667 0.         0.00666667 0.04666667 0.11333333 0.04666667
 0.07333333 0.00666667 0.03333333 0.         0.1        0.10666667
 0.07333333 0.04666667 0.         0.05333333 0.02       0.06
 0.07333333 0.02666667 0.04666667 0.         0.02       0.        ]"
265,[0 0 0 ... 0 0 1],"[0.05113636 0.         0.02272727 0.03977273 0.10227273 0.04545455
 0.06818182 0.01136364 0.03409091 0.         0.08522727 0.11931818
 0.0625     0.03977273 0.         0.05113636 0.03977273 0.0625
 0.07954545 0.02272727 0.03977273 0.         0.02272727 0.        ]"
266,[0 0 0 ... 0 0 1],"[0.04929577 0.         0.00704225 0.04225352 0.1056338  0.04929577
 0.07042254 0.00704225 0.02816901 0.         0.1056338  0.1056338
 0.07746479 0.03521127 0.         0.05633803 0.02112676 0.06338028
 0.07746479 0.02816901 0.04929577 0.         0.02112676 0.        ]"
267,[0 0 0 ... 0 0 1],"[0.03921569 0.         0.00980392 0.04901961 0.1372549  0.04901961
 0.07843137 0.01960784 0.02941176 0.         0.10784314 0.11764706
 0.06862745 0.04901961 0.         0.01960784 0.02941176 0.05882353
 0.05882353 0.02941176 0.02941176 0.         0.01960784 0.        ]"
268,[0 0 0 ... 0 0 1],"[0.06463878 0.         0.02471483 0.02091255 0.02851711 0.08935361
 0.04942966 0.02851711 0.0608365  0.         0.05703422 0.16730038
 0.01901141 0.02661597 0.         0.0513308  0.02281369 0.02661597
 0.07224335 0.05513308 0.06463878 0.02661597 0.04372624 0.        ]"
269,[0 0 0 ... 0 0 1],"[0.07066381 0.         0.02141328 0.0235546  0.0235546  0.08779443
 0.04925054 0.03426124 0.05995717 0.         0.04710921 0.17130621
 0.01927195 0.02783726 0.         0.04710921 0.02783726 0.03211991
 0.07708779 0.05353319 0.0620985  0.02569593 0.0385439  0.        ]"
270,[0 0 0 ... 0 0 1],"[0.07125891 0.         0.01900238 0.04275534 0.06888361 0.04038005
 0.06650831 0.02137767 0.04988124 0.         0.06888361 0.09976247
 0.01900238 0.02137767 0.         0.06175772 0.04750594 0.05463183
 0.06650831 0.0807601  0.06175772 0.01900238 0.01900238 0.        ]"
271,[0 0 0 ... 0 0 1],"[0.09248555 0.         0.02312139 0.03468208 0.04624277 0.04624277
 0.0867052  0.02890173 0.04046243 0.         0.08092486 0.11560694
 0.01734104 0.04046243 0.         0.03468208 0.04624277 0.03468208
 0.04046243 0.09248555 0.06936416 0.01734104 0.01156069 0.        ]"
272,[0 0 0 ... 0 0 1],"[0.0862423  0.         0.02874743 0.03696099 0.0698152  0.04106776
 0.06776181 0.01848049 0.05749487 0.         0.05749487 0.08829569
 0.02053388 0.0349076  0.         0.05544148 0.02874743 0.04722793
 0.08829569 0.05544148 0.07802875 0.01848049 0.02053388 0.        ]"
273,[0 0 0 ... 0 0 1],"[0.09006928 0.         0.02771363 0.03926097 0.06928406 0.03926097
 0.06928406 0.01847575 0.05080831 0.         0.05080831 0.08775982
 0.02309469 0.03926097 0.         0.05773672 0.03002309 0.04618938
 0.08545035 0.05773672 0.07852194 0.01847575 0.02078522 0.        ]"
274,[0 0 0 ... 0 0 1],"[0.0875  0.      0.0375  0.05    0.06875 0.05    0.05    0.025   0.025
 0.      0.03125 0.075   0.03125 0.03125 0.      0.05    0.04375 0.06875
 0.10625 0.0625  0.06875 0.00625 0.03125 0.     ]"
275,[0 0 0 ... 0 0 1],"[0.0778032  0.         0.02974828 0.0389016  0.07551487 0.04576659
 0.07093822 0.02059497 0.05720824 0.         0.05491991 0.0778032
 0.01830664 0.03432494 0.         0.05263158 0.03203661 0.05263158
 0.09153318 0.05263158 0.08237986 0.01372998 0.02059497 0.        ]"
276,[0 0 0 ... 0 0 1],"[0.08346972 0.         0.02291326 0.0294599  0.04255319 0.07201309
 0.05728314 0.02618658 0.04746318 0.         0.04091653 0.13256956
 0.0212766  0.02782324 0.         0.06055646 0.02454992 0.0507365
 0.07201309 0.04582651 0.05564648 0.02454992 0.06219313 0.        ]"
277,[0 0 0 ... 0 0 1],"[0.06363636 0.         0.01590909 0.03181818 0.03636364 0.07954545
 0.05       0.025      0.05227273 0.         0.03863636 0.13636364
 0.02727273 0.02954545 0.         0.07272727 0.025      0.04545455
 0.06818182 0.04772727 0.06590909 0.025      0.06363636 0.        ]"
278,[0 0 0 ... 0 0 1],"[0.08252427 0.         0.02265372 0.02912621 0.0420712  0.07443366
 0.0566343  0.02750809 0.04692557 0.         0.04045307 0.13268608
 0.0210356  0.02750809 0.         0.05987055 0.02588997 0.05016181
 0.07281553 0.04530744 0.05501618 0.02427184 0.0631068  0.        ]"
279,[0 0 0 ... 0 0 1],"[0.06263982 0.         0.01565996 0.03131991 0.03579418 0.08277405
 0.049217   0.02684564 0.05145414 0.         0.03803132 0.13646532
 0.02684564 0.02908277 0.         0.07158837 0.02684564 0.04474273
 0.06935123 0.04697987 0.06487696 0.0246085  0.06487696 0.        ]"
280,[0 0 0 ... 0 0 1],"[0.06965174 0.         0.00248756 0.04726368 0.14179104 0.0199005
 0.0199005  0.0199005  0.04477612 0.         0.06218905 0.10696517
 0.02238806 0.04477612 0.         0.04228856 0.06218905 0.04726368
 0.1318408  0.05223881 0.04975124 0.00746269 0.00497512 0.        ]"
281,[0 0 0 ... 0 0 1],"[0.06185567 0.         0.00515464 0.05154639 0.14175258 0.01804124
 0.0128866  0.01030928 0.04381443 0.         0.06958763 0.11082474
 0.02319588 0.05154639 0.         0.03865979 0.06701031 0.04381443
 0.13402062 0.05154639 0.05412371 0.00515464 0.00515464 0.        ]"
282,[0 0 0 ... 0 0 1],"[0.06649616 0.         0.02046036 0.03836317 0.06521739 0.06521739
 0.04859335 0.02813299 0.05754476 0.         0.03964194 0.11253197
 0.03196931 0.02685422 0.         0.04603581 0.0370844  0.07161125
 0.05498721 0.05498721 0.08056266 0.02173913 0.03196931 0.        ]"
283,[0 0 0 ... 0 0 1],"[0.06625259 0.         0.02484472 0.03312629 0.05175983 0.0621118
 0.04554865 0.02691511 0.06418219 0.         0.03933747 0.11594203
 0.03726708 0.0310559  0.         0.05175983 0.02898551 0.06625259
 0.06418219 0.05175983 0.08695652 0.01656315 0.03519669 0.        ]"
284,[0 0 0 ... 0 0 1],"[0.06989247 0.         0.00537634 0.04301075 0.08602151 0.05376344
 0.08602151 0.02150538 0.04301075 0.         0.03225806 0.09139785
 0.02150538 0.02150538 0.         0.05913978 0.05376344 0.09677419
 0.0483871  0.06451613 0.06989247 0.02150538 0.01075269 0.        ]"
285,[0 0 0 ... 0 0 1],"[0.05912334 0.         0.01936799 0.03669725 0.06320082 0.06320082
 0.04689093 0.0254842  0.07543323 0.         0.06829766 0.09480122
 0.0285423  0.04689093 0.         0.04383282 0.03771662 0.0540265
 0.07237513 0.04179409 0.04689093 0.0254842  0.04994903 0.        ]"
286,[0 0 0 ... 0 0 1],"[0.06122449 0.         0.02040816 0.04081633 0.05808477 0.06122449
 0.03924647 0.02354788 0.06907378 0.         0.08320251 0.08948195
 0.02825746 0.04395604 0.         0.03767661 0.03296703 0.05023548
 0.08791209 0.05180534 0.0533752  0.02040816 0.04709576 0.        ]"
287,[0 0 0 ... 0 0 1],"[0.12172285 0.         0.02621723 0.05805243 0.06741573 0.02059925
 0.07303371 0.03932584 0.01498127 0.         0.01872659 0.13670412
 0.00749064 0.01123596 0.         0.06179775 0.05617978 0.08426966
 0.05430712 0.05243446 0.06367041 0.01498127 0.01685393 0.        ]"
288,[0 0 0 ... 0 0 1],"[0.12256809 0.         0.02529183 0.06031128 0.06420233 0.01750973
 0.07198444 0.03891051 0.0155642  0.         0.01945525 0.14007782
 0.0077821  0.01167315 0.         0.06225681 0.05447471 0.08754864
 0.05447471 0.04863813 0.06420233 0.0155642  0.01750973 0.        ]"
289,[0 0 0 ... 0 0 1],"[0.08907363 0.         0.00950119 0.06175772 0.11045131 0.01543943
 0.06888361 0.03325416 0.05819477 0.         0.0391924  0.06057007
 0.02612827 0.02969121 0.         0.0783848  0.05344418 0.05819477
 0.07957245 0.03562945 0.05700713 0.0023753  0.03325416 0.        ]"
290,[0 0 0 ... 0 0 1],"[0.05973451 0.         0.01327434 0.0420354  0.07079646 0.02433628
 0.06858407 0.02433628 0.08628319 0.         0.05309735 0.07300885
 0.03982301 0.04646018 0.         0.05973451 0.05752212 0.04867257
 0.09734513 0.0420354  0.06415929 0.00442478 0.02433628 0.        ]"
291,[0 0 0 ... 0 0 1],"[0.08784597 0.         0.00962696 0.06257521 0.11191336 0.0156438
 0.06979543 0.03369434 0.0589651  0.         0.03489771 0.06016847
 0.02647413 0.03008424 0.         0.07942238 0.05294826 0.05776173
 0.07942238 0.03489771 0.05776173 0.00240674 0.03369434 0.        ]"
292,[0 0 0 ... 0 0 1],"[0.12109375 0.         0.00585938 0.04882812 0.06640625 0.0390625
 0.05859375 0.05078125 0.02148438 0.         0.0390625  0.06054688
 0.0078125  0.0234375  0.         0.10742188 0.04101562 0.06640625
 0.12890625 0.04492188 0.03515625 0.01367188 0.01953125 0.        ]"
293,[0 0 0 ... 0 0 1],"[0.12185687 0.         0.00773694 0.0483559  0.06576402 0.03868472
 0.05802708 0.05029014 0.0212766  0.         0.03868472 0.05996132
 0.00773694 0.02514507 0.         0.10638298 0.04061896 0.06576402
 0.13152805 0.04448743 0.03481625 0.01353965 0.01934236 0.        ]"
294,[0 0 0 ... 0 0 1],"[0.07628524 0.         0.00497512 0.07794362 0.06799337 0.05472637
 0.06135987 0.01160862 0.05638474 0.         0.06301824 0.07628524
 0.0199005  0.039801   0.         0.06467662 0.02487562 0.05804312
 0.08623549 0.07131012 0.04975124 0.00995025 0.02487562 0.        ]"
295,[0 0 0 ... 0 0 1],"[0.07413793 0.         0.00517241 0.08103448 0.07068966 0.05344828
 0.06206897 0.01206897 0.05172414 0.         0.06206897 0.07586207
 0.01896552 0.03965517 0.         0.06724138 0.02586207 0.05689655
 0.08448276 0.07413793 0.05       0.01034483 0.02413793 0.        ]"
296,[0 0 0 ... 0 0 1],"[0.0971831  0.         0.01830986 0.04225352 0.09577465 0.02676056
 0.07605634 0.02816901 0.02253521 0.         0.03521127 0.09859155
 0.01830986 0.03661972 0.         0.08309859 0.04788732 0.05070423
 0.09295775 0.04366197 0.05211268 0.02112676 0.01267606 0.        ]"
297,[0 0 0 ... 0 0 1],"[0.09745763 0.         0.01836158 0.04237288 0.09463277 0.02683616
 0.07627119 0.02824859 0.02259887 0.         0.03531073 0.09887006
 0.01836158 0.03672316 0.         0.08333333 0.0480226  0.04943503
 0.09322034 0.04378531 0.05225989 0.02118644 0.01271186 0.        ]"
298,[0 0 0 ... 0 0 1],"[0.08811475 0.         0.02663934 0.04098361 0.07581967 0.04303279
 0.06557377 0.02663934 0.02868852 0.         0.03688525 0.09221311
 0.02254098 0.0307377  0.         0.07377049 0.05122951 0.05122951
 0.09016393 0.04713115 0.06762295 0.02663934 0.01434426 0.        ]"
299,[0 0 0 ... 0 0 1],"[0.08425721 0.         0.02882483 0.03325942 0.08203991 0.03547672
 0.06873614 0.02882483 0.02660754 0.         0.03991131 0.09312639
 0.01995565 0.02882483 0.         0.07538803 0.05099778 0.05764967
 0.08425721 0.04878049 0.07317073 0.02439024 0.01552106 0.        ]"
300,[0 0 0 ... 0 0 1],"[0.0877551  0.         0.02653061 0.04081633 0.07755102 0.04285714
 0.06530612 0.02653061 0.02857143 0.         0.03673469 0.09183673
 0.02244898 0.03061224 0.         0.07346939 0.05102041 0.05306122
 0.08979592 0.04693878 0.06734694 0.02653061 0.01428571 0.        ]"
301,[0 0 0 ... 0 0 1],"[0.08421053 0.         0.02736842 0.03789474 0.08       0.03789474
 0.06736842 0.02736842 0.02526316 0.         0.03789474 0.09052632
 0.02315789 0.03157895 0.         0.07578947 0.05052632 0.05684211
 0.08421053 0.05052632 0.06947368 0.02736842 0.01473684 0.        ]"
302,[0 0 0 ... 0 0 1],"[0.05208333 0.         0.03285256 0.06891026 0.0625     0.0400641
 0.05128205 0.03846154 0.05288462 0.         0.0713141  0.11137821
 0.02083333 0.04166667 0.         0.02403846 0.04647436 0.03766026
 0.08173077 0.05048077 0.06971154 0.02083333 0.02483974 0.        ]"
303,[0 0 0 ... 0 0 1],"[0.05254648 0.         0.0331447  0.06871463 0.06305578 0.04042037
 0.05012126 0.03880356 0.05254648 0.         0.07113985 0.11236863
 0.02101859 0.04203719 0.         0.02425222 0.04688763 0.03799515
 0.08003234 0.05012126 0.06952304 0.02101859 0.02425222 0.        ]"
304,[0 0 0 ... 0 0 1],"[0.05276382 0.         0.03266332 0.06951424 0.06365159 0.04020101
 0.04941374 0.0360134  0.0519263  0.         0.07370184 0.11222781
 0.02177554 0.04271357 0.         0.02428811 0.04606365 0.03936348
 0.07956449 0.04941374 0.06951424 0.02177554 0.02345059 0.        ]"
305,[0 0 0 ... 0 0 1],"[0.05228216 0.         0.03236515 0.06970954 0.06307054 0.03983402
 0.05062241 0.03568465 0.05228216 0.         0.07385892 0.11120332
 0.02157676 0.04232365 0.         0.02406639 0.04564315 0.03900415
 0.0813278  0.04979253 0.06970954 0.02157676 0.02406639 0.        ]"
306,[0 0 0 ... 0 0 1],"[0.05209223 0.         0.03159693 0.06831768 0.06404782 0.04013664
 0.04953032 0.03501281 0.05209223 0.         0.07771136 0.10930828
 0.02220325 0.04184458 0.         0.02391119 0.0469684  0.03757472
 0.08112724 0.05038429 0.07002562 0.02134927 0.02476516 0.        ]"
307,[0 0 0 ... 0 0 1],"[0.05029586 0.         0.02366864 0.06508876 0.0591716  0.02071006
 0.06213018 0.03254438 0.05325444 0.         0.0887574  0.12426036
 0.0295858  0.02662722 0.         0.03254438 0.0443787  0.04733728
 0.08579882 0.03550296 0.08284024 0.01775148 0.01775148 0.        ]"
308,[0 0 0 ... 0 0 1],"[0.09415971 0.         0.00953516 0.06197855 0.11084625 0.01549464
 0.06555423 0.03337306 0.05840286 0.         0.03933254 0.06078665
 0.02622169 0.02979738 0.         0.07747318 0.05363528 0.05840286
 0.07747318 0.03694875 0.05482718 0.00238379 0.03337306 0.        ]"
309,[0 0 0 ... 0 0 1],"[0.09299517 0.         0.00966184 0.06280193 0.11231884 0.01570048
 0.06642512 0.03381643 0.05917874 0.         0.03502415 0.06038647
 0.02657005 0.03019324 0.         0.07850242 0.0531401  0.05797101
 0.07729469 0.03623188 0.05555556 0.00241546 0.03381643 0.        ]"
310,[0 0 0 ... 0 0 1],"[0.06004804 0.         0.03282626 0.07045637 0.05764612 0.03843074
 0.05604484 0.03522818 0.05284227 0.         0.0672538  0.11048839
 0.01601281 0.03923139 0.         0.0256205  0.04403523 0.04083267
 0.08166533 0.04883907 0.07365893 0.02081665 0.02802242 0.        ]"
311,[0 0 0 ... 0 0 1],"[0.06138934 0.         0.03311793 0.06946688 0.05815832 0.03796446
 0.05411955 0.0355412  0.05250404 0.         0.06704362 0.11147011
 0.01615509 0.03957997 0.         0.02584814 0.04442649 0.04119548
 0.0815832  0.04765751 0.07350565 0.02100162 0.02827141 0.        ]"
312,[0 0 0 ... 0 0 1],"[0.10903427 0.         0.01246106 0.0623053  0.105919   0.03738318
 0.05919003 0.01557632 0.05607477 0.         0.04672897 0.08722741
 0.03738318 0.01869159 0.         0.02803738 0.05607477 0.0529595
 0.04672897 0.05919003 0.07788162 0.         0.03115265 0.        ]"
313,[0 0 0 ... 0 0 1],"[0.109375 0.       0.0125   0.059375 0.10625  0.0375   0.059375 0.015625
 0.05625  0.       0.046875 0.0875   0.0375   0.01875  0.       0.028125
 0.05625  0.053125 0.046875 0.059375 0.078125 0.       0.03125  0.      ]"
314,[0 0 0 ... 0 0 1],"[0.07355865 0.         0.01192843 0.04970179 0.04771372 0.02982107
 0.12127237 0.00795229 0.04771372 0.         0.04771372 0.07554672
 0.02982107 0.03976143 0.         0.10934394 0.04572565 0.05168986
 0.06560636 0.04970179 0.04373757 0.00198807 0.04970179 0.        ]"
315,[0 0 0 ... 0 0 1],"[0.08118812 0.         0.01188119 0.04950495 0.05148515 0.02970297
 0.11287129 0.00990099 0.04554455 0.         0.04752475 0.08118812
 0.03366337 0.03366337 0.         0.1049505  0.04356436 0.05544554
 0.06732673 0.04950495 0.04752475 0.         0.04356436 0.        ]"
316,[0 0 0 ... 0 0 1],"[0.06538462 0.         0.01730769 0.03846154 0.08076923 0.02692308
 0.08076923 0.025      0.05384615 0.         0.05961538 0.1
 0.03076923 0.03269231 0.         0.05576923 0.025      0.05961538
 0.03846154 0.06730769 0.07692308 0.02115385 0.04423077 0.        ]"
317,[0 0 0 ... 0 0 1],"[0.06082725 0.         0.0243309  0.0486618  0.07542579 0.02189781
 0.08272506 0.02919708 0.04622871 0.         0.06569343 0.10462287
 0.03163017 0.03649635 0.         0.05352798 0.02189781 0.07055961
 0.04136253 0.06082725 0.06569343 0.01946472 0.03892944 0.        ]"
318,[0 0 0 ... 0 0 1],"[0.09142053 0.         0.01828411 0.03938115 0.09845288 0.02953586
 0.07172996 0.0281294  0.01969058 0.         0.03375527 0.09563994
 0.01828411 0.04360056 0.         0.07594937 0.05203938 0.04781997
 0.09563994 0.04500703 0.06188467 0.02109705 0.01265823 0.        ]"
319,[0 0 0 ... 0 0 1],"[0.09167842 0.         0.01833568 0.03949224 0.09732017 0.02961918
 0.0719323  0.02820874 0.01974612 0.         0.03385049 0.09590973
 0.01833568 0.04372355 0.         0.07616361 0.05218618 0.04654443
 0.09590973 0.04513399 0.06205924 0.02115656 0.01269394 0.        ]"
320,[0 0 0 ... 0 0 1],"[0.07722772 0.         0.01188119 0.04950495 0.04950495 0.02970297
 0.11287129 0.00792079 0.04554455 0.         0.04752475 0.07326733
 0.03366337 0.03564356 0.         0.12475248 0.04554455 0.05346535
 0.06732673 0.04554455 0.03762376 0.0019802  0.04950495 0.        ]"
321,[0 0 0 ... 0 0 1],"[0.07415254 0.         0.01271186 0.0529661  0.0529661  0.03177966
 0.10381356 0.00847458 0.04872881 0.         0.05084746 0.07838983
 0.03389831 0.03813559 0.         0.1059322  0.04872881 0.05720339
 0.06779661 0.04872881 0.04025424 0.         0.04449153 0.        ]"
322,[0 0 0 ... 0 0 1],"[0.08960573 0.         0.00955795 0.06332139 0.10872162 0.01553166
 0.0692951  0.03225806 0.05854241 0.         0.03942652 0.06332139
 0.02867384 0.02986858 0.         0.0609319  0.0609319  0.06212664
 0.08004779 0.03703704 0.05376344 0.00238949 0.03464755 0.        ]"
323,[0 0 0 ... 0 0 1],"[0.08837772 0.         0.00968523 0.06416465 0.11016949 0.0157385
 0.07021792 0.03268765 0.05932203 0.         0.03510896 0.062954
 0.02784504 0.03026634 0.         0.06174334 0.06053269 0.06174334
 0.07990315 0.03753027 0.05447942 0.00242131 0.03510896 0.        ]"
324,[0 0 0 ... 0 0 1],"[0.0919674  0.         0.02211874 0.04540163 0.06053551 0.06519208
 0.05587893 0.02561118 0.04307334 0.         0.03725262 0.12107101
 0.01513388 0.02910361 0.         0.05471478 0.03841676 0.04889406
 0.05937136 0.04540163 0.07799767 0.02677532 0.03608847 0.        ]"
325,[0 0 0 ... 0 0 1],"[0.09015421 0.         0.02253855 0.04389087 0.06049822 0.06642942
 0.0569395  0.02609727 0.04389087 0.         0.03677343 0.11862396
 0.01542112 0.02965599 0.         0.0510083  0.03795967 0.04982206
 0.0569395  0.04744958 0.08185053 0.02728351 0.03677343 0.        ]"
326,[0 0 0 ... 0 0 1],"[0.12304688 0.         0.00585938 0.04882812 0.06640625 0.0390625
 0.05859375 0.05078125 0.0234375  0.         0.0390625  0.06054688
 0.0078125  0.0234375  0.         0.10546875 0.04101562 0.06835938
 0.12890625 0.04101562 0.03515625 0.01367188 0.01953125 0.        ]"
327,[0 0 0 ... 0 0 1],"[0.1237911  0.         0.00773694 0.0483559  0.06576402 0.03868472
 0.05802708 0.05029014 0.02321083 0.         0.03868472 0.05996132
 0.00773694 0.02514507 0.         0.10444874 0.04061896 0.06769826
 0.13152805 0.04061896 0.03481625 0.01353965 0.01934236 0.        ]"
328,[0 0 0 ... 0 0 1],"[0.06073298 0.         0.02094241 0.04397906 0.07120419 0.06282723
 0.05445026 0.02408377 0.07120419 0.         0.05549738 0.09319372
 0.02722513 0.04397906 0.         0.04502618 0.03350785 0.06806283
 0.0565445  0.0408377  0.05549738 0.02303665 0.04816754 0.        ]"
329,[0 0 0 ... 0 0 1],"[0.06195652 0.         0.02173913 0.04021739 0.07065217 0.06413043
 0.05217391 0.025      0.07065217 0.         0.05652174 0.0923913
 0.02608696 0.04456522 0.         0.04456522 0.03043478 0.07065217
 0.05652174 0.0423913  0.05652174 0.02391304 0.04891304 0.        ]"
330,[0 0 0 ... 0 0 1],"[0.06947368 0.         0.02105263 0.03368421 0.07157895 0.06526316
 0.05052632 0.01894737 0.08       0.         0.04421053 0.10526316
 0.02736842 0.04421053 0.         0.04210526 0.03368421 0.06736842
 0.04210526 0.04210526 0.06105263 0.03157895 0.04842105 0.        ]"
331,[0 0 0 ... 0 0 1],"[0.05054945 0.         0.02087912 0.04505495 0.06703297 0.06263736
 0.04725275 0.01978022 0.08571429 0.         0.06483516 0.08791209
 0.02637363 0.04945055 0.         0.04615385 0.03846154 0.05054945
 0.05164835 0.05164835 0.06263736 0.02087912 0.05054945 0.        ]"
332,[0 0 0 ... 0 0 1],"[0.05048335 0.         0.02040816 0.04511278 0.06552095 0.0622986
 0.04726101 0.02148228 0.08378088 0.         0.06337272 0.08915145
 0.02577873 0.04833512 0.         0.04940924 0.03759398 0.05155747
 0.05370569 0.05263158 0.0622986  0.02040816 0.04940924 0.        ]"
333,[0 0 0 ... 0 0 1],"[0.05381166 0.         0.02242152 0.04035874 0.06390135 0.06502242
 0.0470852  0.02017937 0.08632287 0.         0.06390135 0.08744395
 0.02466368 0.04932735 0.         0.0470852  0.03811659 0.05044843
 0.05156951 0.05269058 0.06278027 0.02130045 0.05156951 0.        ]"
334,[0 0 0 ... 0 0 1],"[0.04843918 0.         0.02583423 0.0452099  0.06243272 0.06996771
 0.04843918 0.01829925 0.0861141  0.         0.05382131 0.09795479
 0.0247578  0.04628633 0.         0.04736276 0.03659849 0.04951561
 0.05705059 0.05059203 0.06027987 0.0204521  0.05059203 0.        ]"
335,[0 0 0 ... 0 0 1],"[0.03095975 0.         0.0123839  0.04643963 0.05882353 0.0247678
 0.0495356  0.01857585 0.0495356  0.         0.07120743 0.12693498
 0.04024768 0.05882353 0.         0.06501548 0.05263158 0.05882353
 0.05882353 0.06501548 0.07430341 0.00619195 0.03095975 0.        ]"
336,[0 0 0 ... 0 0 1],"[0.10289389 0.         0.02250804 0.04394427 0.05573419 0.05894962
 0.05787781 0.02357985 0.03536977 0.         0.03536977 0.11575563
 0.01714898 0.0278671  0.         0.05359057 0.04072883 0.06859593
 0.06002144 0.04501608 0.07288317 0.0278671  0.03429796 0.        ]"
337,[0 0 0 ... 0 0 1],"[0.13407821 0.         0.03910615 0.06703911 0.05586592 0.01117318
 0.07821229 0.03910615 0.01675978 0.         0.01675978 0.0726257
 0.02793296 0.00558659 0.         0.06145251 0.05027933 0.11173184
 0.0726257  0.06145251 0.04469274 0.02234637 0.01117318 0.        ]"
338,[0 0 0 ... 0 0 1],"[0.10758777 0.         0.02491506 0.04303511 0.05096263 0.05889015
 0.05889015 0.02378256 0.03624009 0.         0.03171008 0.11325028
 0.01925255 0.02831257 0.         0.05662514 0.03737259 0.07248018
 0.06002265 0.04416761 0.06908267 0.02944507 0.03397508 0.        ]"
339,[0 0 0 ... 0 0 1],"[0.07676349 0.         0.01970954 0.05394191 0.07261411 0.02904564
 0.06846473 0.02282158 0.02593361 0.         0.06639004 0.10165975
 0.01763485 0.03630705 0.         0.07261411 0.03630705 0.05912863
 0.093361   0.04979253 0.06120332 0.01141079 0.02489627 0.        ]"
340,[0 0 0 ... 0 0 1],"[0.07580478 0.         0.01973001 0.05399792 0.07268951 0.0290758
 0.06853583 0.02284528 0.02596054 0.         0.06645898 0.10176532
 0.01765317 0.03634476 0.         0.07268951 0.03634476 0.05919003
 0.09345794 0.04984424 0.06126687 0.01142264 0.02492212 0.        ]"
341,[0 0 0 ... 0 0 1],"[0.08013544 0.         0.02031603 0.05417607 0.0744921  0.02934537
 0.06433409 0.02257336 0.0282167  0.         0.06772009 0.10383747
 0.01918736 0.03498871 0.         0.06884876 0.03273138 0.06094808
 0.09367946 0.04514673 0.06094808 0.01241535 0.02595937 0.        ]"
